sigungu_cd,bjdong_cd,bun,ji,total_exclusive_area,unit_count
11200,10200,0898,0002,3721.41,143
11200,10200,0903,0003,4759.12,164
11200,10200,0990,0000,43905.92,538
11200,10200,0992,0000,24402.11,282
11200,10200,1002,0000,19860.268,281
11200,10200,1050,0000,25270.49,367
11200,10200,1052,0000,40252.93,490
11200,10200,1053,0000,9173.44,275
11200,10200,1057,0000,6257.16,191
11200,10200,1058,0000,34733.66,425
11200,10200,1061,0000,59930.645,766
11200,10200,1066,0000,147769.173,1793
11200,10200,1070,0000,219158.8,3475
11200,10200,1071,0000,44133.4,724
11200,10300,0053,0000,8557.38,101
11200,10400,0002,0000,3649.13,117
11200,10400,0002,0001,2610.9,100
11200,10400,0014,0000,10635.96,312
11200,10400,0046,0000,5093.18,135
11200,10400,0053,0000,4180.36,158
11200,10400,0069,0000,34695.98,455
11200,10400,0256,0005,2966.05,123
11200,10400,0257,0000,5026.83,231
11200,10400,0268,0000,2398.6,111
11200,10400,0285,0001,2563.5,106
11200,10500,0439,0001,3547.16,110
11200,10500,0783,0005,3601.69,135
11200,10500,0784,0000,56828.8,902
11200,10500,0817,0000,36076.0,460
11200,10500,0818,0000,89657.88,1116
11200,10500,0819,0000,12407.2,170
11200,10500,0820,0000,32512.42,367
11200,10500,0822,0000,22452.7,286
11200,10500,0825,0000,19936.62,251
11200,10500,0831,0000,17417.27,400
11200,10500,0834,0000,2078.95,123
11200,10500,0836,0000,9904.64,365
11200,10600,0199,0000,19855.02,278
11200,10600,0314,0000,10242.39,133
11200,10600,0315,0000,2012.92,108
11200,10700,0147,0000,50861.82,558
11200,10700,0192,0029,8380.05,258
11200,10700,0287,0015,9447.27,292
11200,10700,0344,0000,49112.57,688
11200,10700,0345,0000,18612.07,259
11200,10700,0346,0000,193504.124,2311
11200,10700,0346,0001,23994.88,728
11200,10700,0347,0000,249523.91,3685
11200,10700,0349,0000,119080.8,1443
11200,10700,0350,0000,4464.72,159
11200,10700,0364,0000,16173.86,210
11200,10700,0375,0000,26005.73,351
11200,10700,0375,0003,3899.94,114
11200,10700,0376,0000,36922.23,473
11200,10700,0377,0000,69333.96,574
11200,10700,0380,0000,81701.25,1063
11200,10700,0387,0000,9428.28,345
11200,10800,0015,0000,93350.87,1174
11200,10800,0097,0000,31304.86,420
11200,10800,0098,0000,55853.98,693
11200,10800,0100,0000,85405.78,980
11200,10800,0275,0000,32944.12,448
11200,10800,0276,0000,30039.72,376
11200,10900,0632,0000,37413.59,1232
11200,10900,0633,0000,153034.49,1809
11200,10900,1500,0000,46922.42,582
11200,10900,1818,0000,14384.53,169
11200,10900,1823,0000,91298.776,1208
11200,10900,1824,0000,4995.802,137
11200,11000,0001,0000,74876.53,1180
11200,11000,1215,0000,32967.78,431
11200,11000,1216,0000,11609.64,306
11200,11000,1217,0000,68071.77,877
11200,11100,0700,0000,29171.0658,418
11200,11100,0917,0000,26692.78,336
11200,11100,1331,0000,114754.6,1324
11200,11100,1662,0000,25805.55,323
11200,11200,0235,0000,45778.265,610
11200,11200,0235,0001,3694.372,121
11200,11200,0340,0000,72731.35,910
11200,11200,0800,0000,104726.84,1244
11200,11200,0801,0000,16743.68,508
11200,11200,1250,0000,21160.21,249
11200,11200,1507,0000,18409.846,217
11200,11200,1553,0000,48913.56,651
11200,11200,1555,0000,7163.061,108
11200,11300,0004,0000,51069.47,656
11200,11300,0060,0000,22802.253,269
11200,11300,0100,0000,63334.9,854
11200,11300,0220,0001,71496.31,578
11200,11300,0250,0000,92846.451,1117
11200,11300,0250,0005,10810.8,330
11200,11300,0428,0000,95133.81,1028
11200,11300,0436,0000,46293.83,641
11200,11300,0466,0000,9618.84,132
11200,11300,0475,0000,8822.4,253
11200,11300,0528,0000,96076.19,1254
11200,11300,0528,0001,41183.03,762
11200,11300,0560,0000,32734.133,368
